	Cluster: cluster-0	Cluster: cluster-1	Cluster: cluster-2	Cluster: cluster-3	Cluster: cluster-4	Cluster: cluster-5	Cluster: cluster-6	Cluster: cluster-7	Cluster: cluster-8	Cluster: cluster-9
('Gene: CDK4', 'Gene Type: Interesting')	-0.792803571	0.39132537138	-0.430912324	0.274833333501	0.538970409275	4.240884801	0.933286088	-0.131728538	-0.981456952	0.327718759261
('Gene: LMTK3', 'Gene Type: Not Interesting')	0.17762054	-0.248799226197	-0.449241698	-0.314794841297	0.49362584148	-0.240495821	0.355814985	0.276904994	1.149618502	0.803440805567
('Gene: LRRK2', 'Gene Type: Not Interesting')	-0.697876151	-0.399339277333	-0.713472923	-0.269428732473	-0.426210419871	-0.517104823	-0.680760697	-0.169463518	0.8106597	0.513901797575
('Gene: UHMK1', 'Gene Type: Not Interesting')	0.850546518	-0.0690026731174	-4.243973921	0.773739700839	0.334076436324	-0.16628803	1.537663802	0.505291411	0.399448283	0.465246852981
('Gene: EGFR', 'Gene Type: Interesting')	1.412416216	0.0457679465681	-1.451838026	0.512862918496	0.438577994564	3.557295952	0.781819022	0.211815895	-0.012362164	0.255331354269
('Gene: STK32A', 'Gene Type: Interesting')	-0.388039665	-0.396802335873	1.649737631	-0.394135415455	2.39521432873	1.156531983	3.023348415	-0.433985412	3.84950782	-0.10122463623
('Gene: NRK', 'Gene Type: Interesting')	1.408537135	1.48676006963	0.36849943	-0.300834851542	1.09925617493	5.813846489	-0.16288686	0.027411933	0.472386752	-0.326015046594
('Gene: ERBB2', 'Gene Type: Not Interesting')	0.906642406	0.443903051385	-1.100056017	-0.414736226069	0.445666992327	-0.035192496	0.365002113	-0.564392699	0.447742443	0.463260668833
('Gene: ERBB4', 'Gene Type: Not Interesting')	-0.452907052	1.05456646275	-0.419739472	-0.387293955037	-0.420284421248	-0.463903623	-0.320103334	-0.560657219	-0.30897114	-0.101823482453
('Gene: AAK1', 'Gene Type: Not Interesting')	3.579051735	-0.445652604756	-0.308282983	-0.0524938645504	0.449987456993	0.083769063	-0.212733397	0.006074527	1.669410989	-0.378464826245
('Gene: SRPK3', 'Gene Type: Not Interesting')	-0.582761335	-0.551276749178	5.16013802	-0.0878885724611	-0.437235345705	0.337501769	-0.71307719	-0.048548064	-0.323318624	-0.22828108327
('Gene: STK39', 'Gene Type: Interesting')	-0.58688791	0.00855432621596	1.303190492	-0.134587889582	0.10246177825	-0.55383453	-0.477773537	-0.62381107	1.267644557	-0.37405499817
('Gene: GRK4', 'Gene Type: Not Interesting')	-0.693639785	-0.792745276174	3.627070248	-0.435815477821	-0.364451010762	-0.573757161	0.293775461	1.012469252	-1.131138938	-0.338813331597
('Gene: TBK1', 'Gene Type: Not Interesting')	0.327203594	0.672961289765	0.735510304	0.227329071432	-0.16789525154	5.598772308	-0.986051455	0.438343505	-0.057479225	0.665745280311
('Gene: INSRR', 'Gene Type: Not Interesting')	0.331108191	0.242609314296	-0.804929849	0.100358693133	-0.39320942295	0.527357553	-0.538461957	3.616542204	-0.940444939	-0.0834537452453
('Gene: IRAK1', 'Gene Type: Interesting')	0.141183837	-2.30466297381	-0.022354553	0.926694199919	0.200839718993	1.44384296	0.906234597	0.050158065	0.562537497	0.243643691678
('Gene: KDR', 'Gene Type: Not Interesting')	-0.524309949	-0.418042757047	-0.600408393	-0.0340047953314	0.975383951124	-0.601257973	-0.139711627	-0.352978397	0.459403791	-0.0686227923984
('Gene: NPR1', 'Gene Type: Interesting')	0.509592174	0.237974147934	-0.305399918	0.0442810743285	-0.405320936272	-0.430407643	-0.005537792	-0.457197866	-0.836530855	1.32614497609
('Gene: PAK3', 'Gene Type: Not Interesting')	-0.554447111	-0.465216573953	-0.542750046	-0.220140574839	-0.0938586313119	1.385049476	-0.493766887	-0.587644968	0.254536609	0.410468897756
('Gene: PDGFRA', 'Gene Type: Interesting')	-0.530831743	-0.418645081014	-0.456431016	0.461693942415	-0.444069949277	-0.449953768	-0.512555424	-0.513202268	-0.565880657	-0.261403282209
('Gene: PDK4', 'Gene Type: Not Interesting')	-0.643246331	-0.354772435469	-0.374720076	-0.293950289447	0.102144325995	-0.136401851	-0.062094125	5.477714716	-0.60002565	0.411587206125
('Gene: ULK4', 'Gene Type: Interesting')	-0.693868027	2.4117996396	-0.735728719	0.664528923147	-0.603890141866	-0.499250839	1.139598497	-0.024286993	-1.044716157	-0.341886142313
('Gene: PRKCE', 'Gene Type: Not Interesting')	0.006531886	-0.0653978473239	-1.334690191	-0.0368116696974	-0.249176297844	0.649579007	-0.268737774	0.936461505	-0.504534505	0.316949128519
('Gene: PRKG2', 'Gene Type: Not Interesting')	-0.185695405	-0.32249747162	4.839524758	0.101080687089	0.448367339569	0.458848186	0.00816719	-1.102148634	0.110508201	0.199265499852
('Gene: MAPK4', 'Gene Type: Interesting')	0.184462349	-0.741522273338	-0.861483648	0.0286678687752	-0.604336844611	-1.118340603	0.246356093	0.858754521	-0.778824075	0.607407759194
('Gene: MAPK11', 'Gene Type: Interesting')	1.760301448	0.174621530122	-0.025445472	2.29516733544	-0.333152802136	-1.448291877	-0.795153414	-0.616300339	-1.188868793	-0.625049740581
('Gene: STK31', 'Gene Type: Interesting')	-0.07364355	2.14989410826	-0.538298189	-0.310658659611	1.78213143275	3.889115824	0.63677969	-0.136732984	1.366358918	0.128678839428
('Gene: GRK1', 'Gene Type: Not Interesting')	-0.751526741	-0.412387025601	0.736929754	0.655911370715	-0.793365140089	-0.351269532	-1.151282849	2.307907188	-0.753268428	0.561714101195
('Gene: ROS1', 'Gene Type: Interesting')	-0.31236414	-0.109533597864	-0.935156558	0.617727579501	0.112289067334	-0.481103706	-0.122694283	-0.866875137	10.29186436	0.0789519143953
('Gene: MAP2K4', 'Gene Type: Interesting')	0.11931136	0.876747104822	-0.988354968	0.477538896648	-0.588693714936	1.891488427	1.064673748	0.095113499	0.64306832	0.145312574309
('Gene: SRC', 'Gene Type: Interesting')	-0.294263824	-0.241661736831	-1.210659274	-0.36868700032	-0.438124783354	-0.22037931	-0.228026664	0.977860794	-0.201675468	1.31290231618
('Gene: TGFBR1', 'Gene Type: Interesting')	-0.000863802	0.536077868376	0.683145561	-0.152451778193	-0.331256998941	0.071551408	0.359330228	-1.587400295	-1.377303308	0.534733995877
('Gene: CAMK2B', 'Gene Type: Not Interesting')	-0.276736819	-0.316424701437	5.339202897	-0.48266867487	-0.602743354829	-0.486419381	-0.437405434	0.143897214	-0.657041002	-0.399509662666
('Gene: STK24', 'Gene Type: Interesting')	-0.31807579	-1.65269832154	-0.687357148	-0.228404952836	0.304394043574	-0.346921024	-9.425120961	-1.073853473	0.300619253	-0.626976564736
('Gene: DCLK3', 'Gene Type: Not Interesting')	-0.670177714	-0.734668022845	3.683694337	0.106227649816	-0.469136568012	-0.342665051	-1.120492739	0.288890539	-0.420002244	-0.405571167414
('Gene: LATS1', 'Gene Type: Not Interesting')	-0.695252888	0.473075317695	-1.19702953	1.9348045687	0.110914098433	-0.505734993	-0.391646018	3.385451038	-0.081815586	-0.282856909283
('Gene: NEK9', 'Gene Type: Not Interesting')	-0.337849025	-0.653153825822	0.475561701	-0.928939369233	0.13147818226	-0.326477104	0.981343049	-0.748451144	-0.575343824	-0.0419387190766
('Gene: MYLK3', 'Gene Type: Not Interesting')	-0.368173217	5.51308982868	0.939058116	-0.162326278372	-0.285815822762	-0.765882671	-0.336791718	-0.060827204	-0.4402703	-0.107568975422
